计划出库日期,销售订单,送货站点名称,最早收货时间,最晚收货时间,经度,纬度,方量,线路名称,配送顺序,预计送达时间,预计离开时间,距离,行驶时间,线路单边里程,线路时间(单边),线路方量,最晚离仓时间,车型
2025-06-30,OM25062800003188,重庆市爆破工程建设有限责任公司,2025-06-30 05:00:00,2025-06-30 05:30:00,106.538333,29.575092,0.0,V040线,1,2025-06-30 05:00:00,2025-06-30 05:20:00,28.214,29.4,71.137,289.4,1060.387,2025-06-30 04:31:00,小型面包车
2025-06-30,OW25062900001075,重庆市教育科学研究院,2025-06-30 06:10:00,2025-06-30 06:30:00,106.549354,29.560878,0.0,V040线,2,2025-06-30 06:10:00,2025-06-30 06:40:00,6.018,14.7,,,,,小型面包车
2025-06-30,OM25062900002397,重庆市食品药品检验检测研究院-白案,2025-06-30 06:50:00,2025-06-30 07:00:00,106.521924,29.624062,0.0,V040线,3,2025-06-30 06:58:00,2025-06-30 07:18:00,10.881,17.5,,,,,小型面包车
2025-06-30,OM25062900004768,烤匠光环购物中心-员工餐,2025-06-30 07:00:00,2025-06-30 07:30:00,106.53562,29.656515,0.0,V040线,4,2025-06-30 07:27:00,2025-06-30 08:12:00,6.488,9.8,,,,,小型面包车
2025-06-30,OM25062900005911,重庆市住房公积金管理中心沙坪坝办事处,2025-06-30 09:00:00,2025-06-30 09:30:00,106.455863,29.603087,0.0,V040线,5,2025-06-30 09:00:00,2025-06-30 09:20:00,19.536,25.9,,,,,小型面包车
2025-06-30,OM25062700007696,大足电网—运检食堂,2025-06-30 06:00:00,2025-06-30 06:25:00,105.742796,29.697112,0.0,V041线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,68.554,42.7,146.605,237.7,1520.916,2025-06-30 05:17:00,小型面包车
2025-06-30,OM25062900003519,重庆创绿环境保护有限公司,2025-06-30 07:00:00,2025-06-30 07:30:00,106.2831,29.666322,0.0,V041线,2,2025-06-30 07:04:00,2025-06-30 07:24:00,62.873,44.1,,,,,小型面包车
2025-06-30,OM25062900004355,重庆璧山天然气有限责任公司,2025-06-30 09:00:00,2025-06-30 09:30:00,106.228746,29.587019,0.0,V041线,3,2025-06-30 09:00:00,2025-06-30 09:15:00,15.178,16.8,,,,,小型面包车
2025-06-30,OW25062900000026,渝北区交巡警-双龙大队,2025-06-30 06:00:00,2025-06-30 06:30:00,106.60536,29.713829,0.0,V042线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,29.005,30.1,37.009,135.1,290.593,2025-06-30 05:30:00,小型面包车
2025-06-30,OM25062900005511,中建五局—中央公园项目部,2025-06-30 07:25:00,2025-06-30 07:30:00,106.590964,29.743122,0.0,V042线,2,2025-06-30 07:25:00,2025-06-30 07:45:00,8.004,11.2,,,,,小型面包车
2025-06-30,OM25062900003696,国家税务总局重庆市璧山区税务局,2025-06-30 06:00:00,2025-06-30 06:30:00,106.238898,29.586376,0.0,V043线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,26.302,25.2,53.027,127.5,1612.447,2025-06-30 05:35:00,小型面包车
2025-06-30,OM25062900003668,国家税务总局重庆市璧山区税务局大路所,2025-06-30 06:00:00,2025-06-30 06:30:00,106.238898,29.586376,0.0,V043线,2,2025-06-30 06:21:00,2025-06-30 06:36:00,0.001,0.7,,,,,小型面包车
2025-06-30,OM25062900004832,中交第四航务工程局有限公司CQ,2025-06-30 06:40:00,2025-06-30 07:05:00,106.385061,29.676267,0.0,V043线,3,2025-06-30 07:02:00,2025-06-30 07:22:00,26.313,25.9,,,,,小型面包车
2025-06-30,OW25062900000166,重庆品谷谷餐饮有限公司,2025-06-30 06:00:00,2025-06-30 10:05:00,106.384825,29.676384,0.0,V043线,4,2025-06-30 07:22:00,2025-06-30 07:42:00,0.411,0.7,,,,,小型面包车
2025-06-30,OM25062700007703,西南医院幼儿园,2025-06-30 05:30:00,2025-06-30 06:00:00,106.453589,29.540679,0.0,V044线,1,2025-06-30 05:30:00,2025-06-30 06:20:00,27.258,21.7,59.928,261.7,859.179,2025-06-30 05:08:00,小型面包车
2025-06-30,OM25062700006656,重庆水务环境控股集团有限公司,2025-06-30 06:25:00,2025-06-30 06:35:00,106.505464,29.554275,0.0,V044线,2,2025-06-30 06:33:00,2025-06-30 07:13:00,6.895,13.3,,,,,小型面包车
2025-06-30,OM25062900002399,重庆市沙坪坝区养老服务中心（重庆市沙坪坝区福利院）,2025-06-30 07:00:00,2025-06-30 07:30:00,106.45324,29.538004,0.0,V044线,3,2025-06-30 07:27:00,2025-06-30 07:47:00,7.685,13.3,,,,,小型面包车
2025-06-30,OW25062800001010,重庆嘉威啤酒—集团,2025-06-30 08:40:00,2025-06-30 09:00:00,106.484729,29.458992,0.0,V044线,4,2025-06-30 08:40:00,2025-06-30 09:30:00,18.09,18.2,,,,,小型面包车
2025-06-30,OM25062700006102,新大正物业集团股份有限公司-奶制品,2025-06-30 06:00:00,2025-06-30 06:25:00,106.55654,29.562133,0.0,V054线,1,2025-06-30 06:00:00,2025-06-30 06:35:00,30.712,28.0,57.211,228.0,3062.525,2025-06-30 05:32:00,大型面包车
2025-06-30,OM25062900002873,重庆市渝水水务机械有限公司,2025-06-30 06:30:00,2025-06-30 07:00:00,106.459658,29.479363,0.0,V054线,2,2025-06-30 06:57:00,2025-06-30 07:17:00,18.114,21.7,,,,,大型面包车
2025-06-30,OM25062900005778,重庆市凤鸣山中学日用品,2025-06-30 09:00:00,2025-06-30 09:20:00,106.455153,29.534966,0.0,V054线,3,2025-06-30 09:00:00,2025-06-30 09:20:00,8.385,14.0,,,,,大型面包车
2025-06-30,OM25062700004669,耐德-龙兴,2025-06-30 05:00:00,2025-06-30 05:30:00,106.772502,29.681089,0.0,V045线,1,2025-06-30 05:00:00,2025-06-30 05:20:00,54.222,39.2,195.877,320.6,1933.617,2025-06-30 04:21:00,小型面包车
2025-06-30,OM25062900002616,重庆农村商业银行股份有限公司巴南支行,2025-06-30 06:40:00,2025-06-30 07:00:00,106.544137,29.415566,0.0,V045线,2,2025-06-30 06:40:00,2025-06-30 07:10:00,60.412,37.8,,,,,小型面包车
2025-06-30,OM25062700007710,中国石油天然气股份有限公司西南化工销售重庆仓储中心,2025-06-30 08:00:00,2025-06-30 08:15:00,106.396445,29.653095,0.0,V045线,3,2025-06-30 08:00:00,2025-06-30 08:20:00,43.446,38.5,,,,,小型面包车
2025-06-30,OM25062900005336,烤匠大悦城-员工餐,2025-06-30 08:40:00,2025-06-30 09:00:00,106.57822,29.727912,0.0,V045线,4,2025-06-30 08:56:00,2025-06-30 09:41:00,37.797,36.4,,,,,小型面包车
2025-06-30,OM25062900000508,观音桥校区师生食堂,2025-06-30 04:50:00,2025-06-30 05:10:00,106.548222,29.581026,0.0,V046线,1,2025-06-30 04:50:00,2025-06-30 05:10:00,28.399,26.6,44.42,171.6,90.442,2025-06-30 04:23:00,小型面包车
2025-06-30,OM25062900002907,重庆复旦中学附属幼儿园贰园-教师粮食,2025-06-30 06:00:00,2025-06-30 06:20:00,106.576256,29.557443,0.0,V046线,2,2025-06-30 06:00:00,2025-06-30 06:20:00,7.15,14.0,,,,,小型面包车
2025-06-30,OM25062900005337,重庆两江新区金山名都天宝乐幼儿园2-学生,2025-06-30 06:40:00,2025-06-30 07:00:00,106.517129,29.529399,0.0,V046线,3,2025-06-30 06:40:00,2025-06-30 07:15:00,8.871,16.1,,,,,小型面包车
2025-06-30,OM25062900004518,考试中心（应急管理局菜）,2025-06-30 06:00:00,2025-06-30 06:30:00,106.506619,29.62111,0.0,V047线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,20.182,16.8,56.96,171.8,1281.98,2025-06-30 05:43:00,小型面包车
2025-06-30,OM25062900000473,重庆市渝中区文化和旅游发展委员会,2025-06-30 06:30:00,2025-06-30 06:50:00,106.573154,29.560096,0.0,V047线,2,2025-06-30 06:40:00,2025-06-30 07:00:00,15.829,19.6,,,,,小型面包车
2025-06-30,OM25062900000540,太极涵菡渝北分公司-二楼早餐,2025-06-30 07:10:00,2025-06-30 07:30:00,106.491675,29.63761,0.0,V047线,3,2025-06-30 07:21:00,2025-06-30 07:41:00,17.178,21.7,,,,,小型面包车
2025-06-30,OM25062900004359,慎安医院大厨房,2025-06-30 08:15:00,2025-06-30 08:35:00,106.478899,29.642794,0.0,V047线,4,2025-06-30 08:15:00,2025-06-30 08:35:00,3.771,5.6,,,,,小型面包车
2025-06-30,OM25062900001212,中国人民解放军陆军第九五三医院,2025-06-30 06:30:00,2025-06-30 07:30:00,106.396359,29.246407,0.0,V048线,1,2025-06-30 06:30:00,2025-06-30 06:50:00,62.807,37.8,69.424,105.5,270.375,2025-06-30 05:52:00,小型面包车
2025-06-30,OM25062900001918,中国人民解放军联勤保障部队第九〇四医院,2025-06-30 06:30:00,2025-06-30 07:30:00,106.396359,29.246407,0.0,V048线,2,2025-06-30 06:51:00,2025-06-30 07:11:00,0.001,0.7,,,,,小型面包车
2025-06-30,OM25062900002305,陆军第八十一集团军医院,2025-06-30 06:30:00,2025-06-30 07:30:00,106.387972,29.270314,0.0,V048线,3,2025-06-30 07:18:00,2025-06-30 07:38:00,6.616,7.0,,,,,小型面包车
2025-06-30,OM25061900007357,渝北区消防救援支队-支队机关,2025-06-30 06:00:00,2025-06-30 06:30:00,106.57485,29.733029,0.0,V049线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,27.296,26.6,48.367,140.4,1572.25,2025-06-30 05:33:00,小型面包车
2025-06-30,OW25062700000022,重庆市渝北区盛果誉峰幼儿园,2025-06-30 06:30:00,2025-06-30 07:00:00,106.583455,29.7242,0.0,V049线,2,2025-06-30 06:30:00,2025-06-30 06:50:00,2.012,7.0,,,,,小型面包车
2025-06-30,OM25062900003474,重庆瑜煌电力设备制造有限公司-蔬菜,2025-06-30 07:00:00,2025-06-30 07:30:00,106.481465,29.771363,0.0,V049线,3,2025-06-30 07:14:00,2025-06-30 07:54:00,19.059,23.8,,,,,小型面包车
2025-06-30,OM25062800001926,重庆凯源石油天然气有限责任公司巴南分公司,2025-06-30 05:30:00,2025-06-30 06:00:00,106.527229,29.467279,0.0,V050线,1,2025-06-30 05:30:00,2025-06-30 06:10:00,41.523,30.8,196.939,224.9,768.134,2025-06-30 04:59:00,小型面包车
2025-06-30,OM25062800003739,招商万桥（重庆）科技有限公司,2025-06-30 06:30:00,2025-06-30 07:00:00,106.69207,29.535359,0.0,V050线,2,2025-06-30 06:41:00,2025-06-30 07:01:00,31.816,30.8,,,,,小型面包车
2025-06-30,OM25062900005597,重庆市应能应急救援有限公司永川队,2025-06-30 07:00:00,2025-06-30 10:00:00,105.724175,29.34498,0.0,V050线,3,2025-06-30 08:24:00,2025-06-30 08:44:00,123.6,83.3,,,,,小型面包车
2025-06-30,OM25062900003877,重庆市公路数据服务中心（双桥基地）,2025-06-30 07:00:00,2025-06-30 07:30:00,105.807366,29.527033,0.0,V055线,1,2025-06-30 07:00:00,2025-06-30 07:20:00,68.476,43.4,68.476,63.4,738.586,2025-06-30 06:17:00,大型面包车
2025-06-30,OM25062700002103,两江物业—职能中心食堂,2025-06-30 06:00:00,2025-06-30 06:20:00,106.820019,29.693393,0.0,V056线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,60.704,42.7,73.578,102.7,707.936,2025-06-30 05:17:00,大型面包车
2025-06-30,OM25062700003786,重庆市江北区鱼嘴镇人民政府,2025-06-30 06:40:00,2025-06-30 07:00:00,106.767814,29.628511,0.0,V056线,2,2025-06-30 06:40:00,2025-06-30 07:00:00,12.874,15.4,,,,,大型面包车
2025-06-30,OM25062900004410,重庆市环境卫生事务中心,2025-06-30 06:00:00,2025-06-30 06:30:00,106.51557,29.585954,0.0,V057线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,24.682,24.5,34.166,114.5,357.107,2025-06-30 05:36:00,大型面包车
2025-06-30,OM25062900000521,太极涵菡渝北分公司-二楼外卖,2025-06-30 07:10:00,2025-06-30 07:30:00,106.491675,29.63761,0.0,V057线,2,2025-06-30 07:10:00,2025-06-30 07:30:00,9.484,14.0,,,,,大型面包车
2025-06-30,OM25062900005176,重庆市血液中心,2025-06-30 06:10:00,2025-06-30 06:30:00,106.449057,29.448701,0.0,V058线,1,2025-06-30 06:10:00,2025-06-30 06:30:00,34.461,24.5,49.042,79.2,657.48,2025-06-30 05:46:00,大型面包车
2025-06-30,OM25062900001268,招待所食堂,2025-06-30 06:20:00,2025-06-30 06:50:00,106.454114,29.542762,0.0,V058线,2,2025-06-30 06:45:00,2025-06-30 07:05:00,14.581,14.7,,,,,大型面包车
2025-06-30,OM25062900002840,新大正物业集团股份有限公司（证监局）,2025-06-30 05:00:00,2025-06-30 05:30:00,106.587073,29.565019,0.0,V059线,1,2025-06-30 05:00:00,2025-06-30 05:20:00,36.193,37.8,63.023,176.0,1260.655,2025-06-30 04:22:00,大型面包车
2025-06-30,OM25062900003673,渝南大道30号一食堂,2025-06-30 06:00:00,2025-06-30 06:30:00,106.56976,29.481127,0.0,V059线,2,2025-06-30 06:00:00,2025-06-30 06:20:00,14.516,21.7,,,,,大型面包车
2025-06-30,OM25062900003913,重庆市地质矿产勘查开发局607地质队,2025-06-30 06:20:00,2025-06-30 06:30:00,106.568891,29.47107,0.0,V059线,3,2025-06-30 06:23:00,2025-06-30 06:43:00,1.719,2.8,,,,,大型面包车
2025-06-30,OM25062900005684,道角检修基地,2025-06-30 06:50:00,2025-06-30 07:10:00,106.548796,29.391216,0.0,V059线,4,2025-06-30 06:58:00,2025-06-30 07:18:00,10.595,15.4,,,,,大型面包车
2025-06-30,OM25062900000985,渝北三号桥食堂,2025-06-30 05:10:00,2025-06-30 05:30:00,106.632519,29.713308,0.0,V060线,1,2025-06-30 05:10:00,2025-06-30 06:30:00,32.403,35.7,48.069,190.7,844.565,2025-06-30 04:34:00,大型面包车
2025-06-30,OW25062900001029,渝北区交巡警-回兴大队,2025-06-30 06:20:00,2025-06-30 06:50:00,106.61362,29.700564,0.0,V060线,2,2025-06-30 06:40:00,2025-06-30 06:56:00,4.068,10.5,,,,,大型面包车
2025-06-30,OM25062900004431,中建五局—中央公园项目部,2025-06-30 07:25:00,2025-06-30 07:30:00,106.590964,29.743122,0.0,V060线,3,2025-06-30 07:25:00,2025-06-30 07:45:00,11.598,19.6,,,,,大型面包车
2025-06-30,OM25062700005136,重庆两江新区水土高新技术产业园建设投资有限公司,2025-06-30 06:00:00,2025-06-30 06:35:00,106.535587,29.807428,0.0,V061线,1,2025-06-30 06:00:00,2025-06-30 07:05:00,30.047,25.2,54.296,144.7,1466.683,2025-06-30 05:35:00,大型面包车
2025-06-30,OM25062900004769,烤匠光环购物中心,2025-06-30 07:00:00,2025-06-30 07:30:00,106.53562,29.656515,0.0,V061线,2,2025-06-30 07:30:00,2025-06-30 08:00:00,24.249,24.5,,,,,大型面包车
2025-06-30,OM25062900002665,陆军勤务学院训练基地第二食堂,2025-06-30 05:50:00,2025-06-30 06:20:00,106.502518,29.541099,0.0,V062线,1,2025-06-30 05:50:00,2025-06-30 06:25:00,27.996,24.5,60.889,194.5,774.526,2025-06-30 05:26:00,大型面包车
2025-06-30,OM25062900004677,中国人民解放军32605 部队-警卫勤务连机关食堂,2025-06-30 06:20:00,2025-06-30 06:40:00,106.532194,29.544284,0.0,V062线,2,2025-06-30 06:34:00,2025-06-30 06:54:00,4.69,9.1,,,,,大型面包车
2025-06-30,OW25062900001007,重庆拓达建设（集团）有限公司,2025-06-30 07:10:00,2025-06-30 07:20:00,106.579601,29.502594,0.0,V062线,3,2025-06-30 07:15:00,2025-06-30 07:35:00,14.683,21.0,,,,,大型面包车
2025-06-30,OM25062700000809,九龙坡铁路幼儿园,2025-06-30 08:00:00,2025-06-30 08:01:00,106.545594,29.500913,0.0,V062线,4,2025-06-30 08:00:00,2025-06-30 08:40:00,13.52,19.6,,,,,大型面包车
2025-06-30,OM25062900002009,重庆市渝北区启诚巴蜀小学_2,2025-06-30 03:20:00,2025-06-30 03:50:00,106.557964,29.718163,0.0,V063线,1,2025-06-30 03:20:00,2025-06-30 04:40:00,24.106,23.1,56.076,253.1,1024.859,2025-06-30 02:57:00,大型面包车
2025-06-30,OM25062900000968,重庆市沙坪坝区回龙坝镇人民政府,2025-06-30 06:00:00,2025-06-30 06:30:00,106.389452,29.710435,0.0,V063线,2,2025-06-30 06:00:00,2025-06-30 06:20:00,28.815,25.2,,,,,大型面包车
2025-06-30,OM25062900002836,中交四航（重庆）供应链管理有限公司,2025-06-30 06:50:00,2025-06-30 07:10:00,106.386067,29.685311,0.0,V063线,3,2025-06-30 06:50:00,2025-06-30 07:10:00,3.155,6.3,,,,,大型面包车
2025-06-30,OM25062900002262,重庆中容石化机械制造有限公司,2025-06-30 06:10:00,2025-06-30 06:30:00,106.455459,29.660458,0.0,V064线,1,2025-06-30 06:10:00,2025-06-30 06:25:00,12.201,12.6,40.607,82.6,609.126,2025-06-30 05:57:00,大型面包车
2025-06-30,OM25062900005934,中梁山基地,2025-06-30 07:00:00,2025-06-30 07:01:00,106.444222,29.44153,0.0,V064线,2,2025-06-30 07:00:00,2025-06-30 07:20:00,28.406,30.1,,,,,大型面包车
2025-06-30,OM25062700006676,西南医院幼儿园,2025-06-30 05:30:00,2025-06-30 06:00:00,106.453589,29.540679,0.0,V065线,1,2025-06-30 05:30:00,2025-06-30 06:20:00,27.258,21.7,50.65,145.5,1109.036,2025-06-30 05:08:00,大型面包车
2025-06-30,OM25062900002528,陆军军医大学三食堂-大灶,2025-06-30 06:30:00,2025-06-30 06:50:00,106.458697,29.540749,0.0,V065线,2,2025-06-30 06:30:00,2025-06-30 06:50:00,1.711,4.9,,,,,大型面包车
2025-06-30,OM25062700002528,重庆市沙坪坝区曾家镇人民政府,2025-06-30 07:00:00,2025-06-30 07:20:00,106.307813,29.55804,0.0,V065线,3,2025-06-30 07:14:00,2025-06-30 07:34:00,21.681,23.8,,,,,大型面包车
2025-06-30,OW25062600000205,重庆市渝中区锦程小金星幼儿园-学生,2025-06-30 05:40:00,2025-06-30 06:00:00,106.51192,29.545792,0.0,V066线,1,2025-06-30 05:40:00,2025-06-30 06:00:00,29.438,26.6,42.307,126.6,497.526,2025-06-30 05:13:00,大型面包车
2025-06-30,OM25062700005094,考试中心（考试考核基地菜）,2025-06-30 06:30:00,2025-06-30 07:00:00,106.508461,29.602091,0.0,V066线,2,2025-06-30 06:30:00,2025-06-30 07:20:00,12.869,16.1,,,,,大型面包车
2025-06-30,OM25062900006039,重庆市凤鸣山中学-1楼,2025-06-30 06:00:00,2025-06-30 06:01:00,106.455654,29.535218,0.0,V067线,1,2025-06-30 06:00:00,2025-06-30 06:40:00,27.564,21.7,34.974,111.7,109.721,2025-06-30 05:38:00,大型面包车
2025-06-30,OM25062900002360,252572-科园五路,2025-06-30 07:10:00,2025-06-30 07:30:00,106.501673,29.535626,0.0,V067线,2,2025-06-30 07:10:00,2025-06-30 07:30:00,7.41,12.6,,,,,大型面包车
2025-06-30,OM25062700003500,大实幼-教师餐,2025-06-30 06:15:00,2025-06-30 06:30:00,106.340831,29.626253,0.0,V068线,1,2025-06-30 06:15:00,2025-06-30 07:35:00,10.663,11.2,46.741,181.2,135.678,2025-06-30 06:04:00,大型面包车
2025-06-30,OM25062900005332,烤匠南坪协信星光店-员工餐,2025-06-30 08:40:00,2025-06-30 09:00:00,106.57777,29.529062,0.0,V068线,2,2025-06-30 08:40:00,2025-06-30 09:05:00,36.078,36.4,,,,,大型面包车
2025-06-30,OM25062700007061,新大正物业集团股份有限公司-肉类,2025-06-30 06:00:00,2025-06-30 06:25:00,106.55654,29.562133,0.0,V069线,1,2025-06-30 06:00:00,2025-06-30 06:35:00,30.712,28.0,37.73,155.6,551.006,2025-06-30 05:32:00,大型面包车
2025-06-30,OM25062700007624,中国邮政集团有限公司重庆市江北区分公司,2025-06-30 06:40:00,2025-06-30 07:00:00,106.548418,29.585873,0.0,V069线,2,2025-06-30 06:48:00,2025-06-30 08:08:00,7.018,12.6,,,,,大型面包车
2025-06-30,OM25062700007262,国家税务总局重庆两江新区税务局,2025-06-30 06:00:00,2025-06-30 06:30:00,106.564296,29.654847,0.0,V070线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,25.39,29.4,48.745,125.1,1060.693,2025-06-30 05:31:00,大型面包车
2025-06-30,OM25062900000991,重庆中法供水-松树桥食堂,2025-06-30 06:30:00,2025-06-30 06:50:00,106.50817,29.588904,0.0,V070线,2,2025-06-30 06:43:00,2025-06-30 07:03:00,17.178,23.1,,,,,大型面包车
2025-06-30,OM25062900003508,中信银行-江北支行（日配）,2025-06-30 07:15:00,2025-06-30 07:36:00,106.543916,29.595574,0.0,V070线,3,2025-06-30 07:16:00,2025-06-30 07:36:00,6.177,12.6,,,,,大型面包车
