计划出库日期,销售订单,送货站点名称,最早收货时间,最晚收货时间,经度,纬度,方量,线路名称,配送顺序,预计送达时间,预计离开时间,距离,行驶时间,线路单边里程,线路时间(单边),线路方量,最晚离仓时间,车型
2025-06-30,OM25062700006102,新大正物业集团股份有限公司-奶制品,2025-06-30 06:00:00,2025-06-30 06:25:00,106.55654,29.562133,0.0,V001线,1,2025-06-30 06:00:00,2025-06-30 06:35:00,30.712,28.0,71.06,238.0,883.554,2025-06-30 05:32:00,小型面包车
2025-06-30,"OM25062800002662,OM25062900002616,OM25062900003613",重庆农村商业银行股份有限公司巴南支行,2025-06-30 06:40:00,2025-06-30 07:00:00,106.544137,29.415566,0.0,V001线,2,2025-06-30 07:00:00,2025-06-30 07:30:00,31.878,24.5,,,,,小型面包车
2025-06-30,OM25062900004813,中国烟草总公司重巴南分公司（界石）,2025-06-30 08:40:00,2025-06-30 09:00:00,106.611893,29.393828,0.0,V001线,3,2025-06-30 08:40:00,2025-06-30 09:30:00,8.47,9.1,,,,,小型面包车
2025-06-30,OM25062900002262,重庆中容石化机械制造有限公司,2025-06-30 06:10:00,2025-06-30 06:30:00,106.455459,29.660458,0.0,V002线,1,2025-06-30 06:10:00,2025-06-30 06:25:00,12.201,12.6,31.325,107.6,155.634,2025-06-30 05:57:00,小型面包车
2025-06-30,OM25062900003711,沙照明设施管理-大学城,2025-06-30 07:25:00,2025-06-30 07:45:00,106.341215,29.607477,0.0,V002线,2,2025-06-30 07:25:00,2025-06-30 07:45:00,19.124,21.7,,,,,小型面包车
2025-06-30,OM25062900004012,铁山坪一楼食堂-面食类,2025-06-30 06:00:00,2025-06-30 06:20:00,106.682204,29.624552,0.0,V003线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,41.261,29.4,58.157,139.4,187.574,2025-06-30 05:31:00,小型面包车
2025-06-30,OM25062900003213,中信银行股份有限公司重庆鲁能星城支行（日配）,2025-06-30 07:00:00,2025-06-30 07:20:00,106.561726,29.599541,0.0,V003线,2,2025-06-30 07:00:00,2025-06-30 07:50:00,16.896,14.7,,,,,小型面包车
2025-06-30,OM25062900003099,重庆两江新区玉兰路翰林幼儿园,2025-06-30 05:50:00,2025-06-30 06:20:00,106.550159,29.609917,0.0,V004线,1,2025-06-30 05:50:00,2025-06-30 06:10:00,25.966,23.8,77.6,172.6,481.982,2025-06-30 05:26:00,小型面包车
2025-06-30,OM25062700004711,中信银行股份有限公司重庆渝中支行（日配）,2025-06-30 06:20:00,2025-06-30 06:40:00,106.580104,29.560173,0.0,V004线,2,2025-06-30 06:26:00,2025-06-30 06:46:00,8.893,16.1,,,,,小型面包车
2025-06-30,OM25062900003357,教职工食堂,2025-06-30 07:00:00,2025-06-30 07:30:00,106.324651,29.635466,0.0,V004线,3,2025-06-30 07:29:00,2025-06-30 08:19:00,42.741,42.7,,,,,小型面包车
2025-06-30,OM25062900005003,九龙坡区交通运输委员会,2025-06-30 05:45:00,2025-06-30 06:05:00,106.532276,29.51463,0.0,V005线,1,2025-06-30 05:45:00,2025-06-30 06:05:00,37.826,30.1,50.746,110.4,380.308,2025-06-30 05:15:00,小型面包车
2025-06-30,OM25062900004712,中国人民解放军32605部队-保障四队1号食堂 六公里站点,2025-06-30 06:10:00,2025-06-30 06:30:00,106.580548,29.503391,0.0,V005线,2,2025-06-30 06:19:00,2025-06-30 06:39:00,10.487,14.0,,,,,小型面包车
2025-06-30,"OW25062600000176,OW25062700000092",交大幼-荤食类,2025-06-30 06:30:00,2025-06-30 07:00:00,106.580033,29.494323,0.0,V005线,3,2025-06-30 06:45:00,2025-06-30 07:05:00,2.433,6.3,,,,,小型面包车
2025-06-30,"OM25062900004495,OM25062900004496,OM25062900005567",重庆市公安局巴南区分局业务技术用房食堂,2025-06-30 06:20:00,2025-06-30 06:30:00,106.540238,29.37809,0.0,V006线,1,2025-06-30 06:20:00,2025-06-30 06:40:00,49.333,37.8,79.541,105.1,1436.915,2025-06-30 05:42:00,小型面包车
2025-06-30,OM25062900003736,重庆市沙坪坝区图书馆,2025-06-30 07:00:00,2025-06-30 07:20:00,106.46117,29.569651,0.0,V006线,2,2025-06-30 07:07:00,2025-06-30 07:27:00,30.208,27.3,,,,,小型面包车
2025-06-30,OM25062900000479,重庆高速资产经营管理有限公司石油销售分公司,2025-06-30 06:10:00,2025-06-30 06:30:00,106.501284,29.585424,0.0,V021线,1,2025-06-30 06:10:00,2025-06-30 06:30:00,22.962,23.1,31.569,99.9,2459.805,2025-06-30 05:47:00,大型面包车
2025-06-30,"OM25062900000357,OM25062900000388",中国人民武装警察部队重庆市总队机关服务中心,2025-06-30 06:20:00,2025-06-30 06:40:00,106.506101,29.596163,0.0,V021线,2,2025-06-30 06:36:00,2025-06-30 06:56:00,1.565,5.6,,,,,大型面包车
2025-06-30,"OM25062900000353,OM25062900000356,OM25062900000358,OM25062900000362,OM25062900000364",重庆中兴软件有限责任公司,2025-06-30 07:00:00,2025-06-30 07:30:00,106.518746,29.625885,0.0,V021线,3,2025-06-30 07:07:00,2025-06-30 07:27:00,7.042,11.2,,,,,大型面包车
2025-06-30,OM25062700007492,重庆市巴南区人民政府惠民街道办事处,2025-06-30 06:20:00,2025-06-30 06:30:00,106.714731,29.464225,0.0,V007线,1,2025-06-30 06:20:00,2025-06-30 06:40:00,55.731,37.8,129.005,197.8,843.15,2025-06-30 05:42:00,小型面包车
2025-06-30,OM25062900000465,二号线白居寺车辆段,2025-06-30 06:50:00,2025-06-30 07:30:00,106.441199,29.397201,0.0,V007线,2,2025-06-30 07:14:00,2025-06-30 07:34:00,49.972,33.6,,,,,小型面包车
2025-06-30,"OM25062900005339,OM25062900006021",烤匠巴南万达广场店,2025-06-30 08:30:00,2025-06-30 09:00:00,106.551076,29.405264,0.0,V007线,3,2025-06-30 08:30:00,2025-06-30 09:00:00,23.302,24.5,,,,,小型面包车
2025-06-30,OW25062600001195,重庆市渝中区锦程小金星幼儿园-老师,2025-06-30 05:40:00,2025-06-30 06:00:00,106.51192,29.545792,0.0,V008线,1,2025-06-30 05:40:00,2025-06-30 06:00:00,29.438,26.6,54.155,186.6,1069.428,2025-06-30 05:13:00,小型面包车
2025-06-30,"OM25062700006656,OM25062700006657,OM25062700007700",重庆水务环境控股集团有限公司,2025-06-30 06:25:00,2025-06-30 06:35:00,106.505464,29.554275,0.0,V008线,2,2025-06-30 06:25:00,2025-06-30 07:05:00,11.643,16.8,,,,,小型面包车
2025-06-30,OM25062900004376,重庆市化工研究院有限公司,2025-06-30 07:00:00,2025-06-30 07:31:00,106.481643,29.584444,0.0,V008线,3,2025-06-30 07:18:00,2025-06-30 07:38:00,8.531,13.3,,,,,小型面包车
2025-06-30,OM25062900003780,沙磁幼儿园-老师,2025-06-30 08:00:00,2025-06-30 08:01:00,106.462866,29.58494,0.0,V008线,4,2025-06-30 08:00:00,2025-06-30 08:20:00,4.543,6.3,,,,,小型面包车
2025-06-30,"OM25062900002560,OM25062900002562",两江小博士幼儿园-保亿丽景分园,2025-06-30 06:00:00,2025-06-30 06:10:00,106.470313,29.725997,0.0,V009线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,20.339,16.8,40.659,86.8,575.674,2025-06-30 05:43:00,小型面包车
2025-06-30,OM25062900002836,中交四航（重庆）供应链管理有限公司,2025-06-30 06:50:00,2025-06-30 07:10:00,106.386067,29.685311,0.0,V009线,2,2025-06-30 06:50:00,2025-06-30 07:10:00,20.32,18.2,,,,,小型面包车
2025-06-30,OM25062900003685,观音桥十八中一楼-二组,2025-06-30 04:50:00,2025-06-30 05:10:00,106.548222,29.581026,0.0,V010线,1,2025-06-30 04:50:00,2025-06-30 05:10:00,28.399,26.6,66.293,236.6,206.326,2025-06-30 04:23:00,小型面包车
2025-06-30,OW25062900000124,重庆市巴南区芸峰兰亭幼儿园,2025-06-30 06:30:00,2025-06-30 06:50:00,106.554186,29.450315,0.0,V010线,2,2025-06-30 06:30:00,2025-06-30 06:50:00,19.443,25.2,,,,,小型面包车
2025-06-30,OM25062900003757,重庆曾家岩大桥建设管理有限公司_干副,2025-06-30 08:00:00,2025-06-30 08:30:00,106.555505,29.571809,0.0,V010线,3,2025-06-30 08:00:00,2025-06-30 08:20:00,18.451,23.1,,,,,小型面包车
2025-06-30,OM25062800005306,川仪自动化股份-办公室,2025-06-30 07:20:00,2025-06-30 07:30:00,106.499266,29.620207,0.0,V011线,1,2025-06-30 07:20:00,2025-06-30 09:40:00,18.052,17.5,18.052,157.95,30.03,2025-06-30 00:00:00,小型面包车
2025-06-30,"OM25062900000305,OM25062900000322",川仪自动化股份-蔡家园区单位食堂,2025-06-30 07:20:00,2025-06-30 07:30:00,106.484414,29.754229,0.0,V022线,1,2025-06-30 07:20:00,2025-06-30 09:58:00,23.307,21.0,23.307,179.15,3326.055,2025-06-30 00:00:00,大型面包车
2025-06-30,"OM25062900000330,OM25062900001340",川仪自动化股份-北环园区单位食堂,2025-06-30 07:20:00,2025-06-30 07:30:00,106.499084,29.620278,0.0,V241线,1,2025-06-30 07:20:00,2025-06-30 10:49:00,19.145,19.6,19.145,228.66,5362.431,2025-06-30 00:00:00,4.2米
2025-06-30,OM25062900002442,重庆建工第三建设有限责任公司高新建材分公司,2025-06-30 06:00:00,2025-06-30 07:05:00,106.694554,28.973976,0.0,V012线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,105.038,69.3,178.66,186.0,734.581,2025-06-30 04:51:00,小型面包车
2025-06-30,OM25062900001918,中国人民解放军联勤保障部队第九〇四医院,2025-06-30 06:30:00,2025-06-30 07:30:00,106.396359,29.246407,0.0,V012线,2,2025-06-30 07:00:00,2025-06-30 07:20:00,55.977,39.9,,,,,小型面包车
2025-06-30,OM25062900002679,窑瓦溪幼儿园-教师,2025-06-30 07:20:00,2025-06-30 07:50:00,106.333688,29.317011,0.0,V012线,3,2025-06-30 07:37:00,2025-06-30 07:57:00,17.645,16.8,,,,,小型面包车
2025-06-30,OM25062900003553,陆军军医大学二食堂,2025-06-30 06:20:00,2025-06-30 06:50:00,106.444809,29.526202,0.0,V013线,1,2025-06-30 06:20:00,2025-06-30 06:40:00,29.725,23.1,46.018,233.1,1882.905,2025-06-30 05:57:00,小型面包车
2025-06-30,"OM25062900005205,OW25062900000090,OW25062900000091,OW25062900000095",丽苑大酒店-西餐厅,2025-06-30 07:30:00,2025-06-30 07:50:00,106.466603,29.561936,0.0,V013线,2,2025-06-30 07:30:00,2025-06-30 08:05:00,10.828,13.3,,,,,小型面包车
2025-06-30,OM25062800005374,快乐食间-老重大,2025-06-30 09:00:00,2025-06-30 09:30:00,106.465902,29.573581,0.0,V013线,3,2025-06-30 09:00:00,2025-06-30 09:50:00,5.465,9.8,,,,,小型面包车
2025-06-30,OW25062700000058,天骄名城小金星幼儿园-老师,2025-06-30 05:50:00,2025-06-30 06:10:00,106.322559,29.587865,0.0,V014线,1,2025-06-30 05:50:00,2025-06-30 06:40:00,16.332,19.6,50.525,224.6,187.981,2025-06-30 05:30:00,小型面包车
2025-06-30,OM25062700003523,国家税务总局重庆市璧山区税务局青杠所,2025-06-30 06:50:00,2025-06-30 07:10:00,106.244431,29.481045,0.0,V014线,2,2025-06-30 07:02:00,2025-06-30 07:22:00,20.775,22.4,,,,,小型面包车
2025-06-30,OM25062900004355,重庆璧山天然气有限责任公司,2025-06-30 09:00:00,2025-06-30 09:30:00,106.228746,29.587019,0.0,V014线,3,2025-06-30 09:00:00,2025-06-30 09:15:00,13.418,15.4,,,,,小型面包车
2025-06-30,OM25062900001452,重庆同兴医疗废物处理有限公司,2025-06-30 05:00:00,2025-06-30 05:30:00,106.440827,29.677463,0.0,V015线,1,2025-06-30 05:00:00,2025-06-30 05:20:00,10.808,12.6,29.412,212.6,823.471,2025-06-30 04:47:00,小型面包车
2025-06-30,OM25062900002400,重庆国际物流枢纽园区-领导餐,2025-06-30 06:50:00,2025-06-30 07:10:00,106.39973,29.641279,0.0,V015线,2,2025-06-30 06:50:00,2025-06-30 07:30:00,13.233,15.4,,,,,小型面包车
2025-06-30,OM25062700007710,中国石油天然气股份有限公司西南化工销售重庆仓储中心,2025-06-30 08:00:00,2025-06-30 08:15:00,106.396445,29.653095,0.0,V015线,3,2025-06-30 08:00:00,2025-06-30 08:20:00,5.371,9.1,,,,,小型面包车
2025-06-30,"OM25062700002103,OM25062900000975",两江物业—职能中心食堂,2025-06-30 06:00:00,2025-06-30 06:20:00,106.820019,29.693393,0.0,V016线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,60.704,42.7,199.132,202.7,950.969,2025-06-30 05:17:00,小型面包车
2025-06-30,OM25062700006660,西南大学-南区幼儿,2025-06-30 06:30:00,2025-06-30 07:00:00,106.424981,29.816815,0.0,V016线,2,2025-06-30 06:58:00,2025-06-30 07:18:00,53.48,37.8,,,,,小型面包车
2025-06-30,OM25062900005477,重庆农村商业银行股份有限公司大足支行,2025-06-30 08:20:00,2025-06-30 08:30:00,105.737082,29.69033,0.0,V016线,3,2025-06-30 08:20:00,2025-06-30 08:40:00,84.948,52.5,,,,,小型面包车
2025-06-30,OM25062900003058,九龙坡区城管综合执法支队-兰花小区,2025-06-30 06:05:00,2025-06-30 06:20:00,106.466888,29.521159,0.0,V017线,1,2025-06-30 06:05:00,2025-06-30 06:25:00,31.474,23.8,52.198,148.8,1102.246,2025-06-30 05:41:00,小型面包车
2025-06-30,OM25062900005627,口腔医院上清寺站点,2025-06-30 06:20:00,2025-06-30 06:50:00,106.553026,29.565573,0.0,V017线,2,2025-06-30 06:40:00,2025-06-30 07:00:00,12.662,14.7,,,,,小型面包车
2025-06-30,OM25062900001570,中建五局—观音桥项目,2025-06-30 07:00:00,2025-06-30 07:20:00,106.535406,29.58118,0.0,V017线,3,2025-06-30 07:11:00,2025-06-30 07:31:00,4.624,11.2,,,,,小型面包车
2025-06-30,OM25062900005378,重庆当代整形外科医院有限公司,2025-06-30 07:50:00,2025-06-30 08:00:00,106.526006,29.57101,0.0,V017线,4,2025-06-30 07:50:00,2025-06-30 08:10:00,3.438,11.2,,,,,小型面包车
2025-06-30,OM25063000002185,重庆市钱大妈供应链管理有限公司,2025-06-30 15:34:00,2025-06-30 16:34:00,106.38609,29.680634,0.0,V018线,1,2025-06-30 15:34:00,2025-06-30 15:54:00,0.932,2.1,44.239,71.5,1292.844,2025-06-30 15:32:00,小型面包车
2025-06-30,OM25063000000175,重庆客百年农产品经营有限公司,2025-06-30 16:00:00,2025-06-30 18:00:00,106.278841,29.390591,0.0,V018线,2,2025-06-30 16:23:00,2025-06-30 16:43:00,43.307,29.4,,,,,小型面包车
2025-06-30,OM25062800004609,重庆市沙坪坝区教师进修学院,2025-06-30 06:00:00,2025-06-30 06:30:00,106.475918,29.5642,0.0,V019线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,29.186,24.5,51.221,174.5,584.232,2025-06-30 05:36:00,小型面包车
2025-06-30,OM25062900000472,重庆市沙坪坝区档案馆,2025-06-30 06:30:00,2025-06-30 06:35:00,106.453437,29.546603,0.0,V019线,2,2025-06-30 06:30:00,2025-06-30 06:50:00,6.577,10.5,,,,,小型面包车
2025-06-30,OM25062900000524,太极涵菡渝北分公司-二楼特色餐,2025-06-30 07:10:00,2025-06-30 07:30:00,106.491675,29.63761,0.0,V019线,3,2025-06-30 07:10:00,2025-06-30 08:30:00,15.458,18.2,,,,,小型面包车
2025-06-30,OM25062800000103,春田幼儿园-老师,2025-06-30 06:00:00,2025-06-30 06:20:00,106.48455,29.561045,0.0,V020线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,26.473,25.2,78.088,265.2,1835.068,2025-06-30 05:35:00,小型面包车
2025-06-30,OM25062900001362,重庆两江新区上林幼儿园-学生,2025-06-30 06:40:00,2025-06-30 07:00:00,106.564655,29.639156,0.0,V020线,2,2025-06-30 06:42:00,2025-06-30 07:02:00,17.871,21.7,,,,,小型面包车
2025-06-30,OM25062700001153,戴维斯物业管理-国家开发银行重庆分行,2025-06-30 07:00:00,2025-06-30 07:30:00,106.575366,29.577498,0.0,V020线,3,2025-06-30 07:16:00,2025-06-30 07:36:00,9.016,14.7,,,,,小型面包车
2025-06-30,OM25062700007031,重庆顺泰铁塔制造有限公司-干副,2025-06-30 08:40:00,2025-06-30 09:00:00,106.641637,29.612773,0.0,V020线,4,2025-06-30 08:40:00,2025-06-30 10:00:00,24.728,23.8,,,,,小型面包车
2025-06-30,"OM25062800000554,OM25062800001545",重庆市渝北区北城书画艺术学校,2025-06-30 06:00:00,2025-06-30 06:30:00,106.51144,29.595375,0.0,V023线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,23.629,23.1,58.839,125.8,210.189,2025-06-30 05:37:00,大型面包车
2025-06-30,"OM25062000005494,OM25062900004329",中国人民解放军78007部队,2025-06-30 06:30:00,2025-06-30 07:00:00,106.569953,29.481373,0.0,V023线,2,2025-06-30 06:42:00,2025-06-30 07:02:00,19.946,22.4,,,,,大型面包车
2025-06-30,OM25062700006559,幼儿食材,2025-06-30 07:20:00,2025-06-30 07:40:00,106.524603,29.541083,0.0,V023线,3,2025-06-30 07:23:00,2025-06-30 07:43:00,15.264,20.3,,,,,大型面包车
2025-06-30,OM25062700006582,佳华-老师,2025-06-30 05:30:00,2025-06-30 05:50:00,106.539246,29.599319,0.0,V024线,1,2025-06-30 05:30:00,2025-06-30 05:50:00,25.16,19.6,57.96,269.6,611.209,2025-06-30 05:10:00,大型面包车
2025-06-30,OM25062800005656,重庆复旦中学附属幼儿园贰园-学生其他类,2025-06-30 06:00:00,2025-06-30 06:20:00,106.576256,29.557443,0.0,V024线,2,2025-06-30 06:04:00,2025-06-30 06:54:00,8.972,14.0,,,,,大型面包车
2025-06-30,OM25062900002077,中信银行-大坪支行（日配）,2025-06-30 07:00:00,2025-06-30 07:20:00,106.521073,29.540617,0.0,V024线,3,2025-06-30 07:10:00,2025-06-30 07:30:00,9.85,16.1,,,,,大型面包车
2025-06-30,OM25062900005745,中国十九冶集团有限公司重庆分公司,2025-06-30 08:20:00,2025-06-30 08:40:00,106.508318,29.615037,0.0,V024线,4,2025-06-30 08:20:00,2025-06-30 09:40:00,13.978,16.8,,,,,大型面包车
2025-06-30,OM25062900002907,重庆复旦中学附属幼儿园贰园-教师粮食,2025-06-30 06:00:00,2025-06-30 06:20:00,106.576256,29.557443,0.0,V025线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,34.823,34.3,67.921,244.3,1162.329,2025-06-30 05:26:00,大型面包车
2025-06-30,OM25062900002673,陆军勤务学院训练基地第一食堂,2025-06-30 06:30:00,2025-06-30 06:50:00,106.504022,29.541437,0.0,V025线,2,2025-06-30 06:41:00,2025-06-30 07:16:00,10.882,21.0,,,,,大型面包车
2025-06-30,OM25062900002661,陆军勤务学院训练基地教工食堂,2025-06-30 07:00:00,2025-06-30 07:30:00,106.502051,29.545444,0.0,V025线,3,2025-06-30 07:22:00,2025-06-30 07:57:00,1.726,6.3,,,,,大型面包车
2025-06-30,OW25062800001010,重庆嘉威啤酒—集团,2025-06-30 08:40:00,2025-06-30 09:00:00,106.484729,29.458992,0.0,V025线,4,2025-06-30 08:40:00,2025-06-30 09:30:00,20.49,17.5,,,,,大型面包车
2025-06-30,OM25062900003269,中交第三公路工程局有限公司第四分公司,2025-06-30 05:50:00,2025-06-30 05:55:00,106.497226,29.619976,0.0,V026线,1,2025-06-30 05:50:00,2025-06-30 06:10:00,19.567,20.3,45.529,170.3,630.092,2025-06-30 05:30:00,大型面包车
2025-06-30,OM25062700006456,两江新区北大资源凯思幼儿园-学生,2025-06-30 06:20:00,2025-06-30 06:45:00,106.538812,29.657252,0.0,V026线,2,2025-06-30 06:28:00,2025-06-30 06:48:00,10.915,18.2,,,,,大型面包车
2025-06-30,OM25062900004232,重庆两江新区金山名都天宝乐幼儿园1-教师,2025-06-30 07:00:00,2025-06-30 07:30:00,106.57072,29.656111,0.0,V026线,3,2025-06-30 07:00:00,2025-06-30 07:20:00,5.936,11.2,,,,,大型面包车
2025-06-30,OM25062800001982,高金实业-一楼食堂,2025-06-30 08:00:00,2025-06-30 08:30:00,106.575573,29.692734,0.0,V026线,4,2025-06-30 08:00:00,2025-06-30 08:20:00,9.111,12.6,,,,,大型面包车
2025-06-30,OW25062700000065,重庆市锦尚小金星幼儿园-老师,2025-06-30 05:50:00,2025-06-30 06:10:00,106.501745,29.549904,0.0,V027线,1,2025-06-30 05:50:00,2025-06-30 06:10:00,28.642,25.2,45.838,156.8,3679.048,2025-06-30 05:25:00,大型面包车
