主客户编码,主客户名称,子客户编码,子客户名称,子客户地址,交接方式,是否限高,额外工作时长（小时） ,是否需要搬运工,配送类型
151229,九龙坡铁路幼儿园,Z090065,九龙坡铁路幼儿园,重庆市重庆市九龙坡区铁路幼儿园,称重点数,是,20分钟,否,正常
106538,重庆市沙坪坝区城市排水设施管理处,106538,重庆市沙坪坝区城市排水设施管理处,重庆市重庆市沙坪坝区重庆市沙坪坝区一纵线,称重点数,否,,否,正常
130395,重庆市人口和计划生育科学技术研究院附属医院,Z057841,重庆市人口和计划生育科学技术研究院附属医院,重庆市重庆市江北区江北区红黄路18号计生医院食堂,称重点数,否,,否,正常
106915,北京金融街第一太平戴维斯物业管理有限公司重庆分公司,Z050849,戴维斯物业管理-国家开发银行重庆分行,重庆市重庆市江北区金融街1号负1楼,称重点数,是,,否,正常
117643,重庆市渝北区人民政府双龙湖街道办事处,Z015272,重庆市渝北区人民政府双龙湖街道办事处,双龙湖街道六楼食堂,称重点数,否,45分钟,否,正常
245578,国家管网集团西南管道有限责任公司重庆输油气分公司,Z119197,重庆输油气,重庆市-渝北区-北部新区龙头寺火车站旁昆仑大道46号中铁·峰汇国际B座9楼,称重点数,否,,否,正常
127301,重庆志阳电气有限公司,Z046644,重庆志阳电气有限公司,重庆市重庆市渝北区重庆长安志阳汽车电气有限公司,称重点数,否,,否,正常
130985,重庆市巴南区人民政府鱼洞街道办事处,Z060282,重庆市巴南区人民政府鱼洞街道办事处,巴南区鱼洞街道办重庆市巴南区鱼洞街道办事处,称重点数,否,,否,正常
180456,重庆市九龙坡区数字化城市管理中心,Z068701,重庆市九龙坡区数字化城市管理中心,重庆市重庆市九龙坡区九龙坡区数字化,称重点数,是,,否,正常
111912,重庆康达环保产业（集团）有限公司,111912,重庆康达环保产业（集团）有限公司,重庆市重庆市渝北区康达环保(黄山大道中段),称重点数,否,10分钟,否,正常
151229,九龙坡铁路幼儿园,Z090065,九龙坡铁路幼儿园,重庆市重庆市九龙坡区铁路幼儿园,称重点数,是,20分钟,否,正常
174210,重庆市南岸区房屋征收中心,Z099595,重庆市南岸区房屋征收中心,重庆市重庆市南岸区南岸区房屋征收中心,称重点数,否,,否,正常
108818,重庆两江新区物业管理有限公司,Z074101,两江物业—职能中心食堂,重庆市重庆市渝北区渝北区御园路92号东北方向180米,称重点数,否,30分钟,否,正常
117721,重庆保税港区港佳综合服务有限公司,Z015323,保税港港欣1号餐厅,重庆市重庆市江北区江北区远航大道88号水港综合大楼重庆市江北区远航大道88号水港综合大楼B栋308重庆保税港区港欣资产经营管理有限公司,称重点数,否,1小时,否,正常
243843,重庆市地质矿产勘查开发集团检验检测有限公司,Z110078,地质勘察——早餐,重庆市-北碚区-同德路12号,称重点数,否,,否,正常
109148,重庆金泰国有资产经营有限公司,109148,重庆金泰国有资产经营有限公司,重庆市重庆市渝北区渝北区龙兴路赛力斯汽车龙兴总部负一楼金泰食堂,称重点数,是,30分钟,否,正常
116760,重庆市沙坪坝区曾家镇人民政府,Z013247,重庆市沙坪坝区曾家镇人民政府,重庆市重庆市沙坪坝区曾家镇政府,称重点数,否,,否,正常
129681,重庆市档案馆（日配）,Z055006,重庆市档案馆（日配）,重庆市重庆市渝北区重庆市渝北区秋成大道,称重点数,是,1小时,否,正常
119756,中国烟草总公司重庆市公司巴南分公司,Z020526,中国烟草总公司重庆市公司巴南分公司,重庆市重庆市巴南区李家沱马王坪正街20号,称重点数,否,30分钟,否,正常
106479,重庆三峰卡万塔环境产业有限公司,Z098832,重庆三峰卡万塔环境产业有限公司二,三峰卡万塔大渡口区八桥镇建桥工业园建桥大道五号,称重点数,否,20分钟,否,正常
106516,重庆农村商业银行股份有限公司南岸支行,106516,重庆农村商业银行股份有限公司南岸支行,重庆市重庆市南岸区重庆市南岸区白鹤路76-11号,称重点数,否,15分钟,否,正常
128950,重庆市沙坪坝区青木关第一幼儿园,Z074808,青木关第一幼儿园-教师餐,重庆市重庆市沙坪坝区青木关第一幼儿园青北下街80号,称重点数,否,10分钟,否,正常
128950,重庆市沙坪坝区青木关第一幼儿园,Z074808,青木关第一幼儿园-教师餐,重庆市重庆市沙坪坝区青木关第一幼儿园青北下街80号,称重点数,否,10分钟,否,正常
108824,中建五局第三建设有限公司重庆分公司,108824,中建五局第三建设有限公司重庆分公司,重庆市重庆市渝北区渝北区新南路451号重庆市渝北区新南路451号 祈年 悦城2楼,称重点数,否,,否,正常
252574,重庆两江新区嘉景湾幼儿园,Z093715,重庆两江新区嘉景湾幼儿园-老师餐,重庆市重庆市渝北区重庆市渝北区金海大道998号,称重点数,否,15分钟,否,正常
122573,重庆建工第二建设有限公司,Z033880,重庆建工第二建设有限公司,重庆市重庆市沙坪坝区天陈路56号,称重点数,是,30分钟,否,正常
129499,重庆市大渡口区八桥镇人民政府,Z054940,重庆市大渡口区八桥镇人民政府,重庆市重庆市大渡口区鑫鹏大厦,称重点数,是,,否,正常
184337,重庆市九龙坡区环境卫生管理处,Z089581,重庆市九龙坡区环境卫生管理处,重庆市重庆市九龙坡区九龙坡区环境卫生重庆市九龙坡区杨渡一村,称重点数,是,,否,正常
177907,重庆市江北区复盛镇人民政府,Z087658,重庆市江北区复盛镇人民政府,重庆市重庆市江北区复盛镇镇府重庆市,称重点数,否,,否,正常
164063,重庆市沙坪坝区大学城实验幼儿园,Z097145,大实幼-教师餐,重庆市重庆市沙坪坝区重庆市沙坪坝区大学城实验幼儿园,称重点数,否,1小时,否,正常
131026,国家税务总局重庆市璧山区税务局,Z087975,国家税务总局重庆市璧山区税务局青杠所,重庆市重庆市璧山区白云大道491号,称重点数,否,,否,正常
106479,重庆三峰卡万塔环境产业有限公司,106479,重庆三峰卡万塔环境产业有限公司,三峰卡万塔大渡口区八桥镇建桥工业园建桥大道五号,称重点数,否,20分钟,否,正常
128950,重庆市沙坪坝区青木关第一幼儿园,Z074808,青木关第一幼儿园-教师餐,重庆市重庆市沙坪坝区青木关第一幼儿园青北下街80号,称重点数,否,10分钟,否,正常
128950,重庆市沙坪坝区青木关第一幼儿园,Z074808,青木关第一幼儿园-教师餐,重庆市重庆市沙坪坝区青木关第一幼儿园青北下街80号,称重点数,否,10分钟,否,正常
252574,重庆两江新区嘉景湾幼儿园,Z093716,重庆两江新区嘉景湾幼儿园-幼儿餐,重庆市重庆市渝北区重庆市渝北区金海大道998号,称重点数,否,15分钟,否,正常
233223,重庆人文艺术职业学校,Z089562,重庆人文艺术职业学校,重庆市重庆市巴南区重庆人文艺术职业学校重庆市巴南区南泉街道虎啸村,称重点数,否,1小时,否,正常
177942,重庆市江北区鱼嘴镇人民政府,Z075216,重庆市江北区鱼嘴镇人民政府,重庆市重庆市江北区鱼嘴镇镇府,称重点数,否,,否,正常
122224,重庆横河川仪有限公司,Z033050,重庆横河川仪有限公司,重庆市重庆市北碚区重庆市北碚区鼎新大道,称重点数,否,15分钟,否,正常
248812,重庆市沙坪坝区瑞教文化发展股份有限公司,Z100936,沙坪坝区公园管理中心,重庆市-沙坪坝区-解放坡1-1号平顶山公园,称重点数,否,,否,正常
248812,重庆市沙坪坝区瑞教文化发展股份有限公司,Z101207,沙坪坝区公园管理中心-沙坪公园,重庆市-沙坪坝区-解放坡1-1号平顶山公园,称重点数,否,,否,正常
122224,重庆横河川仪有限公司,Z033050,重庆横河川仪有限公司,重庆市重庆市北碚区重庆市北碚区鼎新大道,称重点数,否,15分钟,否,正常
109786,重庆市教育科学研究院,109786,重庆市教育科学研究院,重庆市重庆市渝中区重庆市教育科学研究院,称重点数,是,10分钟,是,正常
156201,长江重庆航道工程局,Z063486,长江重庆航道工程局,重庆市-渝中区-长江滨江路111号航道工程局,称重点数,是,,否,正常
117721,重庆保税港区港佳综合服务有限公司,Z087663,保税港港欣8号餐厅—果园西区,重庆市重庆市江北区中华人民共和国重庆海关港重庆市江北区港埠路与隆港路交叉口正西方向85米,称重点数,否,30分钟,否,正常
113643,重庆君合酒店管理有限公司,Z007477,考试中心（考试考核基地水果）,重庆市重庆市渝北区安全生产考试,称重点数,否,30分钟,否,正常
166040,重庆两江新区水土高新技术产业园建设投资有限公司,Z090546,重庆两江新区水土高新技术产业园建设投资有限公司,重庆市重庆市北碚区水土高新技术产业园建设投资有限公司8楼,称重点数,是,45分钟,否,正常
156520,国家税务总局重庆市税务局第五稽查局,Z084510,国家税务总局重庆市税务局第五稽查局,重庆市重庆市南岸区第五稽查局南岸区通江大道209号（四号岗右转到4楼食堂）,信任交接,否,,否,正常
102534,重庆耐德工业股份有限公司,200351,耐德-龙兴,重庆市重庆市渝北区耐德龙兴重庆是渝北区龙兴堡云路5号,称重点数,否,30分钟,否,正常
106898,中信银行股份有限公司重庆分行,Z085092,中信银行股份有限公司重庆渝中支行（日配）,重庆市重庆市渝中区合景聚融广场一单元27-7,称重点数,是,,否,正常
116101,重庆市九龙坡区人民政府中梁山街道办事处,Z012277,重庆市九龙坡区人民政府中梁山街道办事处,重庆市重庆市九龙坡区重庆市九龙坡区中梁山正街301号（导航中梁山街道办事处）重庆市九龙坡区中梁山正街301号（导航中梁山街道办事处）,称重点数,否,30分钟,否,正常
194499,重庆市环境卫生事务中心,Z077064,重庆市环境卫生事务中心,重庆市重庆市渝北区环境卫生事务中心渝北区-红石支路29号(花卉园地铁站2C口步行490米）,称重点数,是,1小时,否,正常
108293,重庆市北碚区天生幼儿园,108293,重庆市北碚区天生幼儿园,天生幼儿园,称重点数,否,,否,正常
117590,重庆凯源石油天然气有限责任公司,Z087643,重庆凯源石油天然气有限责任公司,凯源燃气鸳鸯服务厅凯源燃气,称重点数,否,,否,正常
106479,重庆三峰卡万塔环境产业有限公司,Z099664,重庆三峰卡万塔环境产业有限公司三,三峰卡万塔大渡口区八桥镇建桥工业园建桥大道五号,称重点数,否,20分钟,否,正常
164811,重庆清电新能源开发有限公司,Z091841,重庆清电新能源开发有限公司,重庆市重庆市渝北区清电新能源,称重点数,否,,否,正常
113643,重庆君合酒店管理有限公司,Z007475,考试中心（考试考核基地菜）,重庆市重庆市渝北区安全生产考试,称重点数,否,30分钟,否,正常
113643,重庆君合酒店管理有限公司,Z007476,考试中心（考试考核基地肉）,重庆市重庆市渝北区安全生产考试,称重点数,否,,否,正常
106900,中国石油集团川庆钻探工程有限公司重庆运输总公司,106900,中国石油集团川庆钻探工程有限公司重庆运输总公司,重庆市重庆市渝北区红石支路299号中国石油川庆钻探工程有限公司重庆运输总公司,称重点数,是,1小时,否,正常
113643,重庆君合酒店管理有限公司,Z007479,考试中心（考试考核基地干副）,重庆市重庆市渝北区安全生产考试,称重点数,否,,否,正常
166040,重庆两江新区水土高新技术产业园建设投资有限公司,Z090546,重庆两江新区水土高新技术产业园建设投资有限公司,重庆市重庆市北碚区水土高新技术产业园建设投资有限公司8楼,称重点数,是,45分钟,否,正常
159762,中国电信股份有限公司渝北分公司,Z101204,回兴路食堂,重庆市-渝北区-宝桐路32号,称重点数,否,,否,正常
159762,中国电信股份有限公司渝北分公司,Z101204,回兴路食堂,重庆市-渝北区-宝桐路32号,称重点数,否,,否,正常
130395,重庆市人口和计划生育科学技术研究院附属医院,Z057841,重庆市人口和计划生育科学技术研究院附属医院,重庆市重庆市江北区江北区红黄路18号计生医院食堂,称重点数,否,,否,正常
157179,重庆市沙坪坝区阳光家园第一幼儿园,Z097250,重庆市沙坪坝区阳光家园第一幼儿园_教师,重庆市沙坪坝区阳光家园第一幼儿园,称重点数,否,,否,正常
102534,重庆耐德工业股份有限公司,200353,耐德-界石,重庆市重庆市巴南区巴南区界石镇石佛路8号,称重点数,否,,否,正常
152883,重庆浩航船务有限公司,Z092710,重庆浩航船务有限公司,重庆市重庆市江北区浩航江北区金源路7号B区24楼,称重点数,是,,否,正常
106898,中信银行股份有限公司重庆分行,Z085080,中信银行-金州支行（日配）,重庆市重庆市渝北区力帆红星紫郡1栋20-4,称重点数,是,,否,正常
106898,中信银行股份有限公司重庆分行,Z085057,中信银行-南坪支行(日配）,重庆市重庆市南岸区南岸区学府大道2号重庆市重庆市南岸区南岸区学府大道2号江南国际新城6幢5-7,称重点数,否,,否,正常
161361,重庆市人民检察院第五分院,Z103442,重庆市人民检察院第五分院,重庆市-渝中区-经纬大道488号,称重点数,是,1小时,否,正常
233492,重庆市九龙坡区文化馆,Z072636,重庆市九龙坡区文化馆,重庆市重庆市九龙坡区重庆市九龙坡区西郊支路19号,称重点数,是,,否,正常
160519,重庆市第一中学校,Z072506,重庆一中-幼儿园,重庆市重庆市沙坪坝区重庆市沙坪坝区汉渝路17-5号,称重点数,否,,否,正常
119659,重庆瑜煌电力设备制造有限公司,Z093833,重庆瑜煌电力设备制造有限公司-干副,重庆市-北碚区-凤西路6号瑜煌电力设备制造有限公司,称重点数,否,20分钟,否,正常
119659,重庆瑜煌电力设备制造有限公司,Z093834,重庆瑜煌电力设备制造有限公司-蔬菜,重庆市-北碚区-凤西路6号瑜煌电力设备制造有限公司,称重点数,否,20分钟,否,正常
120105,重庆顺泰铁塔制造有限公司,Z093836,重庆顺泰铁塔制造有限公司-蔬菜,重庆市重庆市江北区重庆市江北区S101(海尔路),称重点数,否,,否,正常
106516,重庆农村商业银行股份有限公司南岸支行,106516,重庆农村商业银行股份有限公司南岸支行,重庆市重庆市南岸区重庆市南岸区白鹤路76-11号,称重点数,否,15分钟,否,正常
128180,新大正物业集团股份有限公司,Z083410,新大正物业集团股份有限公司-奶制品,重庆市渝中区中山三路128-、130号,称重点数,是,15分钟,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
107058,厦门银行股份有限公司重庆分行,107058,厦门银行股份有限公司重庆分行,重庆市重庆市江北区重庆市江北区金沙门路,称重点数,是,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
106898,中信银行股份有限公司重庆分行,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,称重点数,是,2小时,否,正常
106898,中信银行股份有限公司重庆分行,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,称重点数,是,,否,正常
106898,中信银行股份有限公司重庆分行,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,称重点数,是,,否,正常
258594,重庆市九龙坡区金凤镇人民政府,Z103637,重庆市九龙坡区金凤镇人民政府,重庆市-九龙坡区-凤苑路14号附3号1至3层,称重点数,否,30分钟,否,正常
157514,重庆市巴南区规划和自然资源局,Z085629,一号楼,重庆市重庆市巴南区巴南区规划,称重点数,否,,否,正常
108417,重庆两江新区北大资源凯思幼儿园,Z009441,两江新区北大资源凯思幼儿园-学生,重庆市重庆市渝北区北大资源凯思幼儿园,称重点数,否,,否,正常
108417,重庆两江新区北大资源凯思幼儿园,Z009440,两江新区北大资源凯思幼儿园-老师,重庆市重庆市渝北区北大资源凯思幼儿园,称重点数,否,10分钟,否,正常
157514,重庆市巴南区规划和自然资源局,Z085629,一号楼,重庆市重庆市巴南区巴南区规划,称重点数,否,,否,正常
108417,重庆两江新区北大资源凯思幼儿园,Z009440,两江新区北大资源凯思幼儿园-老师,重庆市重庆市渝北区北大资源凯思幼儿园,称重点数,否,,否,正常
155066,重庆市渝中区红岩幼儿园,Z063067,渝中区红岩幼儿园-老师,重庆市重庆市渝中区渝中区千厮门行街15号重庆市渝中区千厮门行街15号,称重点数,是,15分钟,否,正常
103945,重庆两江新区楠苑康复护理院有限公司,103945,重庆两江新区楠苑康复护理院有限公司,重庆市重庆市渝北区楠苑护理院,称重点数,是,30分钟,否,正常
251920,解放军陆军勤务学院幼儿园,Z091831,教师食材,重庆市重庆市渝中区重庆市渝中区长江二路147号长江二路147号,称重点数,否,,否,正常
251920,解放军陆军勤务学院幼儿园,Z091830,幼儿食材,重庆市重庆市渝中区重庆市渝中区长江二路147号长江二路147号,称重点数,否,,否,正常
255786,重庆市渝北区佳华幼儿园,Z097261,佳华-老师,重庆市重庆市渝北区佳华幼儿园渝北区龙塔街道紫荆路社区156号,称重点数,否,,否,正常
124059,国网重庆市电力公司大足供电分公司,Z096790,大足电网—机关食堂,重庆市重庆市大足区大足区棠香街道五星大道中段71号国家电网大足供电公司,称重点数,否,1小时,否,正常
115178,浙商银行股份有限公司重庆分行,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,称重点数,是,2小时,否,正常
117213,重庆市巴南区土地整治储备中心,Z014215,重庆市巴南区土地整治储备中心,重庆市重庆市巴南区龙德路77号6栋18楼,称重点数,否,,否,正常
157421,重庆水务环境控股集团有限公司,Z077796,重庆水务环境控股集团有限公司,重庆市重庆市渝中区渝中区虎踞路80号重庆总部城A区11栋渝中区虎踞路80号重庆总部城A区,称重点数,是,20分钟,否,正常
157421,重庆水务环境控股集团有限公司,Z077796,重庆水务环境控股集团有限公司,重庆市重庆市渝中区渝中区虎踞路80号重庆总部城A区11栋渝中区虎踞路80号重庆总部城A区,称重点数,是,20分钟,否,正常
150035,西南大学,Z073824,西南大学-南区幼儿,重庆市重庆市北碚区西南大学实验幼儿园南区,称重点数,否,,否,正常
150035,西南大学,Z073826,西南大学-北区幼儿,重庆市重庆市北碚区西南大学实验幼儿园西南大学5号门进去,称重点数,否,,否,正常
124059,国网重庆市电力公司大足供电分公司,Z096791,大足电网—城区食堂,重庆市重庆市大足区大足区环西路100号大足区国家电网汽车充电站,称重点数,否,1小时,否,正常
189768,中国人民解放军陆军军医大学第一附属医院（西南医院幼儿园）,Z078247,西南医院幼儿园,沙坪坝区西南医院幼儿园,称重点数,否,30分钟,否,正常
115178,浙商银行股份有限公司重庆分行,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,称重点数,是,,否,正常
189768,中国人民解放军陆军军医大学第一附属医院（西南医院幼儿园）,Z078247,西南医院幼儿园,沙坪坝区西南医院幼儿园,称重点数,否,30分钟,否,正常
110866,重庆市北碚区住房和城乡建设委员会,110866,重庆市北碚区住房和城乡建设委员会,重庆市重庆市北碚区北碚城乡建设委员会定位对面就是食堂送到3楼,称重点数,否,30分钟,否,正常
170611,重庆九锅箐农林综合开发有限责任公司,Z102432,重庆颐天康养产业发展有限公司,重庆市-渝中区-中山三128号、130号投资大厦车库电梯到负一楼颐天康养食堂,称重点数,是,,否,正常
107749,重庆市巴南不动产登记中心,Z090782,巴南不动产登记中心-干副粮油,重庆市重庆市巴南区重庆市巴南区龙洲大道,称重点数,否,,否,正常
107749,重庆市巴南不动产登记中心,107749,重庆市巴南不动产登记中心,重庆市重庆市巴南区重庆市巴南区龙洲大道,称重点数,否,,否,正常
131495,重庆市渝北区人民政府人和街道办事处,Z062050,重庆市渝北区人民政府人和街道办事处,重庆市重庆市渝北区人和街道办事处,称重点数,否,1.5小时,否,正常
113063,重庆百事天府饮料有限公司,Z007556,重庆百事天府饮料有限公司,重庆市重庆市渝北区重庆百事天府饮料有限公司,称重点数,否,30分钟,否,正常
120105,重庆顺泰铁塔制造有限公司,Z093835,重庆顺泰铁塔制造有限公司-干副,重庆市重庆市江北区重庆市江北区S101(海尔路),称重点数,否,1小时,否,正常
128180,新大正物业集团股份有限公司,Z083409,新大正物业集团股份有限公司-肉类,重庆市渝中区中山三路128-、130号,称重点数,是,15分钟,否,正常
248502,中电建重庆勘测设计研究院有限公司,Z087651,中电建重庆勘测设计研究院有限公司,重庆市重庆市渝北区渝北区财富大道3号财富汇10楼5号,称重点数,否,,否,正常
128180,新大正物业集团股份有限公司,Z083406,新大正物业集团股份有限公司-干副,重庆市渝中区中山三路128-、130号,称重点数,是,15分钟,否,正常
128180,新大正物业集团股份有限公司,Z083407,新大正物业股份有限公司-蔬菜,重庆市渝中区中山三路128-、130号,称重点数,是,15分钟,否,正常
122082,重庆澋悦房地产开发有限公司,Z032457,重庆澋悦房地产开发有限公司,重庆市重庆市渝中区重庆市渝中区化龙桥正街211,称重点数,否,10分钟,否,正常
128424,重庆科学城城市建设集团有限公司,Z050197,重庆科学城城市建设集团有限公司,重庆市重庆市九龙坡区青竹路高新ONE,称重点数,否,,否,正常
116101,重庆市九龙坡区人民政府中梁山街道办事处,Z012277,重庆市九龙坡区人民政府中梁山街道办事处,重庆市重庆市九龙坡区重庆市九龙坡区中梁山正街301号（导航中梁山街道办事处）重庆市九龙坡区中梁山正街301号（导航中梁山街道办事处）,称重点数,否,30分钟,否,正常
156308,国家税务总局重庆两江新区税务局,Z087649,国家税务总局重庆两江新区税务局,重庆市重庆市渝北区两江税务,称重点数,否,,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
112177,安诚财产保险股份有限公司,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,称重点数,否,1小时,否,正常
118522,中铁建生态环境有限公司,Z016899,中铁建生态环境有限公司-早餐,中铁建生态环境有限公司,称重点数,否,,否,正常
106898,中信银行股份有限公司重庆分行,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,称重点数,是,,否,正常
106898,中信银行股份有限公司重庆分行,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,称重点数,是,,否,正常
151287,中国铁路成都局集团有限公司重庆建设指挥部,Z080483,中国铁路成都局集团有限公司重庆建设指挥部,重庆市重庆市沙坪坝区青秀阅山8栋6楼，导航青秀阅山8栋,称重点数,否,,否,正常
163755,重庆市渝北区体育事业发展中心,Z100105,重庆市渝北区体育事业发展中心,重庆市-渝北区-秋成大道与兰桂大道交叉口全民健身中心内,称重点数,否,,否,正常
106824,重庆市巴南区人民政府惠民街道办事处,106824,重庆市巴南区人民政府惠民街道办事处,重庆市重庆市巴南区重庆市巴南区惠西路176号,称重点数,否,,否,正常
155066,重庆市渝中区红岩幼儿园,Z063067,渝中区红岩幼儿园-老师,重庆市重庆市渝中区渝中区千厮门行街15号重庆市渝中区千厮门行街15号,称重点数,是,15分钟,是,正常
251920,解放军陆军勤务学院幼儿园,Z091832,聘用教师食材,重庆市重庆市渝中区重庆市渝中区长江二路147号长江二路147号,称重点数,否,,否,正常
118238,中国邮政集团有限公司重庆市江北区分公司,Z016764,中国邮政集团有限公司重庆市江北区分公司,重庆市重庆市江北区中国邮政集团有限公司重庆市江北区分公司,称重点数,是,1小时,否,正常
255786,重庆市渝北区佳华幼儿园,Z097262,佳华-学生,重庆市重庆市渝北区佳华幼儿园渝北区龙塔街道紫荆路社区156号,称重点数,否,,否,正常
117134,重庆九龙坡区铝都实验幼儿园大石堡分园,Z014006,重庆九龙坡区铝都实验幼儿园大石堡分园,重庆市重庆市九龙坡区西彭镇铝城正街2号铝都实验幼儿园(大石堡分园),称重点数,否,,否,正常
115178,浙商银行股份有限公司重庆分行,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,称重点数,是,,否,正常
115178,浙商银行股份有限公司重庆分行,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,称重点数,是,,否,正常
129529,长江重庆航道局,Z054113,长江重庆航道局,重庆市重庆市渝北区长江重庆航道局机关事务服务中心渝北区星辰路76号,称重点数,是,,否,正常
115178,浙商银行股份有限公司重庆分行,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,称重点数,是,,否,正常
124059,国网重庆市电力公司大足供电分公司,Z096910,大足电网—运检食堂,重庆市重庆市大足区大足区索性酒店旁大足电网云检电力公司,称重点数,否,,否,正常
